SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da HPPD,PÓS-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da EPSPS,PÓS-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da formação de microtubulos,PÓS-emergente,Feijão,Feijão (n=57),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Feijão,Feijão (n=57),0,0,
Inibidores do FSII,PÓS-emergente,Feijão,Feijão (n=57),35,19,
Inibidores da PPO,PÓS-emergente,Feijão,Feijão (n=57),77,41,
Mimetizadores da auxina,PÓS-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da AGCML,PÓS-emergente,Feijão,Feijão (n=57),3,2,
Inibidores da ALS ,Dessecante colheita,Feijão,Feijão (n=57),0,0,128
Inibidores da ACCase ,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Inibidores da DOXP sintase,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Inibidores da glutamina sintetase,Dessecante colheita,Feijão,Feijão (n=57),41,32,
Inibidores da HPPD,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Inibidores da EPSPS,Dessecante colheita,Feijão,Feijão (n=57),5,4,
Inibidores da formação de microtubulos,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Desvio de elétrons do FSI,Dessecante colheita,Feijão,Feijão (n=57),77,60,
Inibidores do FSII,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Inibidores da PPO,Dessecante colheita,Feijão,Feijão (n=57),5,4,
Mimetizadores da auxina,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Inibidores da AGCML,Dessecante colheita,Feijão,Feijão (n=57),0,0,
Inibidores da ALS ,Dessecante pré plantio,Soja,Soja (n=159),10,5,219
Inibidores da ACCase ,Dessecante pré plantio,Soja,Soja (n=159),14,6,
Inibidores da DOXP sintase,Dessecante pré plantio,Soja,Soja (n=159),0,0,
Inibidores da glutamina sintetase,Dessecante pré plantio,Soja,Soja (n=159),3,1,
Inibidores da HPPD,Dessecante pré plantio,Soja,Soja (n=159),0,0,
Inibidores da EPSPS,Dessecante pré plantio,Soja,Soja (n=159),85,39,
Inibidores da formação de microtubulos,Dessecante pré plantio,Soja,Soja (n=159),0,0,
Desvio de elétrons do FSI,Dessecante pré plantio,Soja,Soja (n=159),24,11,
Inibidores do FSII,Dessecante pré plantio,Soja,Soja (n=159),5,2,
Inibidores da PPO,Dessecante pré plantio,Soja,Soja (n=159),20,9,
Mimetizadores da auxina,Dessecante pré plantio,Soja,Soja (n=159),56,26,
Inibidores da AGCML,Dessecante pré plantio,Soja,Soja (n=159),2,1,
Inibidores da ALS ,PRÉ-emergente,Soja,Soja (n=159),62,46,136
Inibidores da ACCase ,PRÉ-emergente,Soja,Soja (n=159),0,0,
Inibidores da DOXP sintase,PRÉ-emergente,Soja,Soja (n=159),0,0,
Inibidores da glutamina sintetase,PRÉ-emergente,Soja,Soja (n=159),7,5,
Inibidores da HPPD,PRÉ-emergente,Soja,Soja (n=159),0,0,
Inibidores da EPSPS,PRÉ-emergente,Soja,Soja (n=159),7,5,
Inibidores da formação de microtubulos,PRÉ-emergente,Soja,Soja (n=159),3,2,
Desvio de elétrons do FSI,PRÉ-emergente,Soja,Soja (n=159),2,1,
Inibidores do FSII,PRÉ-emergente,Soja,Soja (n=159),0,0,
Inibidores da PPO,PRÉ-emergente,Soja,Soja (n=159),27,20,
Mimetizadores da auxina,PRÉ-emergente,Soja,Soja (n=159),0,0,
Inibidores da AGCML,PRÉ-emergente,Soja,Soja (n=159),28,21,
Inibidores da ALS ,PÓS-emergente,Soja,Soja (n=159),23,15,149
Inibidores da ACCase ,PÓS-emergente,Soja,Soja (n=159),20,13,
Inibidores da DOXP sintase,PÓS-emergente,Soja,Soja (n=159),0,0,
